id,email,password,username,firstname,lastname,contactinfo,branch_id,user_kind,permission_level,title,permissions
1,test11111@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,1131tariq,tom,smith,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",1,Chiropractor,System Admin,Dr.,"{textReminders,insurance,patientApp,editSchedule}"
111,test15@hotmail.com,$2b$06$xF.XvvavWIXIHNwKWPpW/.HPHa3cNSIERzB3v2CRETuEhdiI3q.bu,test15,zayne,malik,"{""phone"": ""07859613692"", ""address"": {""zip"": ""NW9 5HG"", ""city"": ""London"", ""state"": ""Greater London"", ""street"": ""07 crawford court""}}",2,Call Agent,Location User,Mr.,{}
112,test16@hotmail.com,$2b$06$aJHoiJQ7mojgCPHBb7yHiOdSRcHAvKbcYXJN9vOB5xdCXnbuZSNe.,test16,hamzeh,ahmad,"{""phone"": ""07859613692"", ""address"": {""zip"": ""NW9 5HG"", ""city"": ""London"", ""state"": ""Greater London"", ""street"": ""07 crawford court""}}",1,Phlebotomist,Location User,Dr.,{}
2,test1@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test1,John,Doe,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",1,Administrative only,System Admin,Mr.,"{textReminders,insurance,patientApp,editSchedule}"
4,test3@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test3,Jack,Jones,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",1,Chiropractor,Location Admin,Dr.,"{textReminders,insurance,patientApp,editSchedule}"
5,test4@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test4,Jill,Jones,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",1,Chiropractor,Location User,Dr.,"{textReminders,insurance,patientApp,editSchedule}"
6,test5@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test5,Hannah,Hart,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",1,Nurse Practitioner,Location User,Ms.,"{textReminders,insurance,patientApp,editSchedule}"
7,test6@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test6,Hailey,Hart,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",1,Nurse Practitioner,Location User,Ms.,"{textReminders,insurance,patientApp,editSchedule}"
8,test7@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test7,Jerry,Smith,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",2,Administrative only,System Admin,Mr.,"{textReminders,insurance,patientApp,editSchedule}"
10,test9@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test9,Harry,Brown,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",2,Chiropractor,Location Admin,Dr.,"{textReminders,insurance,patientApp,editSchedule}"
11,test10@hotmail.com,$2b$06$3D7.SFIeS1i6kOTDc8jyouLCGPmzweuFoldnO1vWsrUQmdwrf1nnu,test10,Mohammad,Yasin,"{""phone"": ""07859613692"", ""address"": {""zip"": ""W1W 6UW"", ""city"": ""London"", ""state"": ""London"", ""street"": ""New Cavendish Street""}}",2,Chiropractor,Location User,Dr.,"{textReminders,insurance,patientApp,editSchedule}"
